,Violentcrime,POPESTIMATE,PerCapitaInc,PovertyAllAgesPct,Immigration_Rate_2000_2010,Ed1LessThanHSPct,Ed3SomeCollegePct,Ed5CollegePlusPct,OwnHomePct,NumUnemployed2019,Housing_Units,Tier_1,Tier_2,Tier_3,Tier_4,male_officer,female_officer,DiversityIndex,BlackorAfricanAmericanalonepercent2013,AmericanIndianandAlaskaNativealonepercent2013,Asianalonepercent2013,NativeHawaiianandOtherPacificIslanderalonepercent,TwoorMoreRacespercent2013,HispanicorLatinopercent2013,WhitealonenotHispanicorLatinopercent2013,AGE0_24,AGE25_44,AGE45_64,AGE64
203,11.0,3.780948751154016,2.898979644501065,-0.25647239375214703,2.739567965007076,-0.870134688038762,-1.506970478625506,3.4446767999646717,-2.7955175123904668,3.7029982427471757,4.09994181589548,1.2057156693025783,1.2587655829543192,1.7319240549008297,1.5403454656277067,5.779279371033866,12.022376768542253,1.9565128622103896,2.7894693802840034,-0.27000782160151954,3.1745438501799614,0.13240206208036065,0.21634167133051727,-0.07034390398013717,-2.1235185340826823,17.711234982316178,16.683583957037143,15.503980160542397,15.200331261363392
204,0.0,-0.007879977664232126,0.8048675448858726,0.2856449858820211,0.4648885829809303,-0.2154396592119368,0.4315909337471443,0.9712537428689908,-1.3375049328122615,-0.04770647785033112,0.06670737333593296,-0.09584197175025415,-0.01916901902976137,0.5464128785530309,1.5403454656277067,0.22642058289224387,0.34195494220871814,1.300324564519273,1.4209243641734937,-0.23646742423705538,0.252191278291824,0.8259366729774874,-0.0604280574505284,-0.1612524150960378,-0.8303160428515003,-0.19284649078343594,-0.18108964026468696,0.02120235124209983,0.6612860417240054
205,215.0,0.48072732619526337,0.1416920412579404,-0.3089353659748086,5.376984761784819,1.2887357035677842,-0.4590681843132953,0.33511337238579186,-0.4588777500505017,0.2709672646911519,0.3479380567546781,1.2057156693025783,1.2587655829543192,0.5464128785530309,1.5403454656277067,1.0363803916124659,0.7319213306872623,1.405067322417662,-0.0014398379638344303,-0.16938662950812697,0.6174853497778412,0.8259366729774874,-0.3371977862315741,1.4069194016532478,-0.9348728400148728,2.60090494581384,1.6279776805299235,2.0351253703272607,2.451606661864961
206,125.0,-0.21364846303811258,-0.4036960862085675,0.16323138402914428,-0.5277457633711266,0.9202271407174955,0.6731446160591285,-0.8053913904678659,-0.49728525442785443,-0.23271602179157044,-0.2282123332257448,-0.09584197175025415,-0.01916901902976137,-0.6390982977947679,-0.8520018865649898,-0.1765444960730407,-0.17800024242934065,-0.72724259060224,-0.25515885780454695,-0.2532376229192875,-0.29574982893720186,-0.5611325488167661,-0.3371977862315741,-0.5551892965982739,0.6775030320308133,-1.02940084999284,-0.7907025086553252,-0.8459524711535457,-1.2502622281083435
207,41.0,-0.19473791729620502,1.3223090314290733,-1.0958799493147298,-0.4665984082136672,-0.6655602342068901,1.4957166363361718,0.9998751361555434,1.9150444658099295,-0.21317568793710245,-0.21506844817257495,-0.09584197175025415,-0.01916901902976137,0.5464128785530309,0.3441717895313585,-0.18057414686269355,-0.14086058638376503,0.47226011216611574,0.6828326700914207,-0.2532376229192875,-0.11310279319419325,0.13240206208036065,-0.24494120997122545,-0.42640223918408127,-0.09291547338350781,-0.9971854052888562,-0.7718203688467439,-0.7132340428949862,-1.011801540085395
208,20.0,-0.2887392958160617,-0.8577004123737083,0.3730832729197901,-0.6915551546205976,1.1511430843951742,-0.43265976140383616,-1.2901801949285057,-0.3021168291509967,-0.2828141117801532,-0.3006147476660937,-1.3973996128030868,-1.297103621013842,-0.6390982977947679,-0.8520018865649898,-0.3014636705522789,-0.15943041440655284,-0.10363036713394949,0.19077154070337204,-0.23646742423705538,-0.29574982893720186,-0.5611325488167661,-0.0604280574505284,-0.48700791326134835,0.3088027472968174,-1.4212620498724244,-1.0687291363547446,-1.1588068764296438,-1.6119519055440896
209,0.0,0.6173090204056959,0.25296424959675323,-1.305731838205375,-0.18917686727619856,-0.6135194232529395,0.06124794463977599,0.8181250266150185,-0.05740154212302302,0.5301885021009557,0.425600044246257,1.2057156693025783,1.2587655829543192,1.7319240549008297,1.5403454656277067,1.5199384863708074,1.7346920439178042,1.743293895825936,2.420423533242967,-0.27000782160151954,1.3480734927498756,0.13240206208036065,0.3085982475908659,-0.17640383361535458,-1.6227465055633736,3.573587793259199,2.174587824183387,2.887069526822127,1.8479734877066276
210,127.0,0.31585447537682215,0.23959101038191902,-0.5012995974579003,-0.3597782247454733,-0.6811272607281119,1.0808044287087393,0.7045011401366489,-1.0358822628176079,0.16723719454881658,0.2519533723571826,1.2057156693025783,1.2587655829543192,1.7319240549008297,0.3441717895313585,-0.325641575290196,-0.2708493825432797,1.5617978071343037,1.6746433840142059,-0.2532376229192875,0.9827794212638584,0.8259366729774874,0.8621377051529572,-0.1612524150960378,-1.121974477044065,1.8770390623108788,1.3136258776741467,1.1934222305762219,0.9888604338510796
211,56.0,-0.2725586992772277,-1.1657992696693118,0.07579309699137526,-0.062379572182701105,1.2533456306337967,-0.08197038086530076,-1.1729273829180873,0.36559182119180583,-0.2749148278815385,-0.2896413198221646,-0.09584197175025415,-0.01916901902976137,-0.6390982977947679,-0.8520018865649898,-0.2531078610764448,-0.2151398984749163,0.8330305428806417,1.074943882572522,-0.23646742423705538,-0.4783968646802104,-0.5611325488167661,-0.15268463371087682,-0.3354937280681806,-0.4010828755492359,-1.343020937697644,-1.0143048017208494,-1.0817300096395415,-1.5215255273765378
212,21.0,-0.2246180345203084,-0.18406634987263648,-0.08159581967660902,-0.44983076578818065,-0.12616182688826946,0.08293155804069322,-0.11619180086132372,1.11016018762437,-0.2289742557343319,-0.2345016115576379,-0.09584197175025415,-0.01916901902976137,0.5464128785530309,-0.8520018865649898,-0.1846037976523464,-0.2151398984749163,0.751192389814614,1.2671552612397283,-0.27000782160151954,-0.17398513844186278,-0.5611325488167661,-0.7062240912729681,-0.5551892965982739,-0.38457390757607207,-1.1037902495568532,-0.8549357358346084,-0.8804376952124621,-1.212146937806088
