GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "01005","Barbour, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",23818,22655,23092,22854,23457,23432,24869,25609,24690,24524,24429,24763,24748,24777,24798,24952,25002,24941,25102,25230,25336,25505,26506,26941,27371,27751,27854,28298,28415,28841,28866,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27342,27426,27320,27158,27043,26633,26217,25608,25380,25205,25180,24964
 "01005","Barbour, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2147,2545,2686,3068,3401,3847,3962,4428,4998,5716,6217,6462,7246,7546,8095,9213,9791,10602,11171,12218,12986,13490,14180,14943,15349,15930,15912,16109,16670,17545,18902,18844,19979,20100,20737,22682,23857,24801,25662,25893,26189,27842,28026,27872,29719,29566,31277,31288,32167,33328,34870,37120,40428
 "01007","Bibb, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",29810,32551,36605,40832,46596,50798,56318,64869,72180,83429,94098,102779,110723,117163,126180,140918,150583,159669,166529,182190,194958,211589,220150,234844,247468,265123,284113,300128,317487,318380,336130,349080,374191,392436,417363,453399,471023,502032,541687,567395,544533,572986,588961,612492,613760,633023,653018,649743,653575,672838,712472,768870,829213
 "01007","Bibb, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",14994,13798,13919,14097,14654,14391,14778,14763,15257,15355,15550,15751,15836,16020,15999,16089,16157,15918,16165,16136,16360,16697,17071,17403,17757,18053,18507,18885,19388,19851,20560,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22861,22750,22682,22544,22586,22607,22654,22606,22383,22405,22223,22477
 "01007","Bibb, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1988,2359,2630,2897,3180,3530,3811,4394,4731,5433,6051,6525,6992,7314,7887,8759,9320,10031,10302,11291,11917,12672,12896,13494,13936,14686,15352,15892,16375,16038,16349,17530,17795,18512,19504,20874,21369,22717,24142,24990,23736,25064,25888,27003,27225,28027,28886,28681,28912,30060,31800,34598,36892
 "01009","Blount, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",69322,70070,77601,91044,109829,115697,138935,154635,171858,196542,219327,247854,270653,278902,292924,329806,367279,378463,401677,456849,509105,544591,573473,602555,636578,677031,728606,800930,852102,933365,983374,1029384,1099414,1115855,1193566,1277822,1343853,1384480,1501724,1594866,1584491,1606133,1645207,1731048,1753595,1828862,1900332,1903577,1990387,2073870,2154397,2265818,2517168
 "01009","Blount, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",26411,26999,27817,29296,30357,31537,32219,33048,34219,34845,35959,36508,36641,36355,36428,36790,37417,37995,38017,38250,38771,39473,40190,40822,41866,42520,44060,45344,47055,48824,50237,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57403,57712,57857,58024,58048,58168,58238,58676,58765,58956,59081,59041
 "01009","Blount, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2625,2595,2790,3108,3618,3669,4312,4679,5022,5640,6099,6789,7387,7672,8041,8965,9816,9961,10566,11944,13131,13797,14269,14761,15205,15923,16537,17663,18109,19117,19575,20142,21206,21234,22328,23609,24602,24952,26702,27953,27633,27980,28507,29919,30222,31506,32670,32686,33922,35291,36542,38351,42634
 "01011","Bullock, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",22716,25439,27281,31525,36021,37381,38400,45169,49030,52368,57473,58213,65736,67174,75336,75905,81927,85337,87513,95655,107795,115651,127292,136885,141869,147113,156225,157536,171987,182054,187498,181642,190315,196963,199576,200263,202287,217816,231699,254377,261688,255198,256625,264897,263143,257793,264545,268831,268801,273050,284288,313695,343317
 "01011","Bullock, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12554,11749,11418,11443,11274,11141,11097,11112,11015,10954,10799,10616,10679,10639,10686,10824,10777,10459,10891,11184,11170,11032,11188,11125,11219,11370,11431,11574,11624,11655,11755,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10885,10724,10689,10670,10818,10584,10612,10425,10443,10455,10309,10320
