yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
163372021,16337,2021,PA0221300,PA0221300,,N,N,,I,PENBROOK,PENBROOK PD HARRISBURG,Penbrook,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,2974,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,0,8,1,0,1,3.0,3.0,2013-01-01,2013-07-01,2013-07-01,2020-05-01,2020-05-01,2020-05-01,N,DAUPHIN,"Harrisburg-Carlisle, PA",Y,Y,Y
163392021,16339,2021,PA0221500,PA0221500,,N,N,,I,DERRY TOWNSHIP,DERRY TWP PD HERSHEY,"Derry Township, Dauphin County",,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,25388,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,34,0,34,4,2,6,1.5,1.6,2013-01-01,2021-11-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,DAUPHIN,"Harrisburg-Carlisle, PA",Y,Y,Y
164162021,16416,2021,PA0250200,PA0250200,,N,N,,I,ERIE,ERIE PD,Erie,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,94437,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,166,10,176,9,14,23,1.9,2.1,2013-01-01,2021-11-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,ERIE,"Erie, PA",Y,Y,Y
164402021,16440,2021,PA0260400,PA0260400,,N,N,,I,"SW REGNL, FAYETTE CNTY",SOUTHWEST REGIONAL PD,"Southwest Regional, Fayette County",,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,2597,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,1,0,1,0,0,0,0.4,0.4,2013-01-01,2021-03-01,,,,,N,FAYETTE,"Pittsburgh, PA",Y,Y,Y
164702021,16470,2021,PA0280000,PA0280000,,N,N,,I,FRANKLIN,FRANKLIN CO SO CHAMBERSBURG,Franklin,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,County,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,26,1,27,3,2,5,0,0,2013-01-01,2013-05-01,2013-05-01,,2022-03-01,2022-03-01,N,FRANKLIN,"Chambersburg-Waynesboro, PA",Y,Y,Y
164732021,16473,2021,PA0280300,PA0280300,,N,N,,I,WAYNESBORO,WAYNESBORO PD,Waynesboro,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,10939,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,15,0,15,2,2,4,1.6,1.7,2013-01-01,2013-01-01,2013-01-01,2020-05-01,2020-05-01,2020-05-01,N,FRANKLIN,"Chambersburg-Waynesboro, PA",Y,Y,Y
164742021,16474,2021,PA0280400,PA0280400,,N,N,,I,MERCERSBURG,MERCERSBURG PD,Mercersburg,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,1525,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,1.3,1.3,2013-01-01,2013-12-01,2013-12-01,2020-05-01,2020-05-01,2020-05-01,N,FRANKLIN,"Chambersburg-Waynesboro, PA",Y,Y,Y
164762021,16476,2021,PA0280600,PA0280600,,N,N,,I,WASHINGTON TOWNSHIP,WASHINGTON TOWNSHIP POLICE DEPART WAYNESBORO,"Washington Township, Franklin County",,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,15037,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,9,0,9,0,2,2,0.6,0.7,2013-01-01,2013-01-01,2013-01-01,2020-05-01,2020-05-01,2020-05-01,N,FRANKLIN,"Chambersburg-Waynesboro, PA",Y,Y,Y
165392021,16539,2021,PA0350400,PA0350400,,N,N,,I,SCRANTON,SCRANTON PD,Scranton,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,76580,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,134,1,135,10,14,24,1.9,2.1,2013-01-01,2021-01-01,,,,,N,LACKAWANNA,"Scranton--Wilkes-Barre, PA",Y,Y,Y
166072021,16607,2021,PA0363900,PA0363900,,N,N,,I,EAST EARL TOWNSHIP,EAST EARL TWP PD BLUE BALL,East Earl Township,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,6938,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,0,0,0,0.9,0.9,2013-01-01,2013-11-01,2013-11-01,2021-03-01,2021-03-01,2021-03-01,N,LANCASTER,"Lancaster, PA",Y,Y,Y
