yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
51262021,5126,2021,IL0452100,IL0452100,,N,N,,I,GILBERTS,GILBERTS PD,Gilberts,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,8198,23367,ILUCR0001,Illinois State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2006-12-01,2021-11-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,KANE,"Chicago-Naperville-Elgin, IL-IN-WI",Y,Y,Y
51302021,5130,2021,IL0453300,IL0453300,,N,N,,I,ELGIN COMMUNITY COLLEGE,ELGIN COMM COLLEGE PUBLIC SAFETY,Elgin Community College,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,University or College,0,23367,ILUCR0001,Illinois State Police,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,15,1,16,1,1,2,0,0,2006-12-01,2021-05-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,KANE,"Chicago-Naperville-Elgin, IL-IN-WI",Y,Y,Y
51452021,5145,2021,IL0470000,IL0470000,,N,N,,I,KENDALL,KENDALL CO SO YORKVILLE,Kendall,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,30041,23367,ILUCR0001,Illinois State Police,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,47,40,87,4,15,19,1.7,3.5,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,KENDALL,"Chicago-Naperville-Elgin, IL-IN-WI",Y,Y,Y
51462021,5146,2021,IL0470100,IL0470100,,N,N,,I,PLANO,PLANO PD,Plano,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,11983,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2006-12-01,2021-07-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,KENDALL,"Chicago-Naperville-Elgin, IL-IN-WI",Y,Y,Y
51472021,5147,2021,IL0470200,IL0470200,,N,N,,I,YORKVILLE,YORKVILLE PD,Yorkville,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,21622,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,0,0,0,0,0,0,0.0,0.0,2006-12-01,2021-01-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,KENDALL,"Chicago-Naperville-Elgin, IL-IN-WI",Y,Y,Y
51482021,5148,2021,IL0470300,IL0470300,,N,N,,I,OSWEGO,OSWEGO PD,Oswego,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,37362,23367,ILUCR0001,Illinois State Police,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,44,1,45,7,10,17,1.4,1.7,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,KENDALL,"Chicago-Naperville-Elgin, IL-IN-WI",Y,Y,Y
51592021,5159,2021,IL0490200,IL0490200,,N,N,,I,RIVERWOODS,RIVERWOODS POLICE DEPARTMENT,Riverwoods,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,3520,23367,ILUCR0001,Illinois State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,LAKE,"Chicago-Naperville-Elgin, IL-IN-WI",Y,Y,Y
51602021,5160,2021,IL0490300,IL0490300,,N,N,,I,DEERFIELD,DEERFIELD PD,Deerfield,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,18562,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,"COOK, LAKE","Chicago-Naperville-Elgin, IL-IN-WI",Y,Y,Y
51612021,5161,2021,IL0490400,IL0490400,,N,N,,I,FOX LAKE,FOX LAKE PD,Fox Lake,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,10386,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,24,3,27,2,3,5,2.5,3.1,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,"LAKE, MCHENRY","Chicago-Naperville-Elgin, IL-IN-WI",Y,Y,Y
51622021,5162,2021,IL0490500,IL0490500,,N,N,,I,GRAYSLAKE,GRAYSLAKE PD,Grayslake,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,24076,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,LAKE,"Chicago-Naperville-Elgin, IL-IN-WI",Y,Y,Y
