yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
21452021,2145,2021,CT0005100,CT0005100,,N,N,,I,FAIRFIELD,FAIRFIELD PD,Fairfield,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,62473,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,94,9,103,12,14,26,1.7,2.1,1998-01-01,2000-01-01,2020-11-01,2020-03-01,2020-11-01,2020-11-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21462021,2146,2021,CT0005200,CT0005200,,N,N,,I,FARMINGTON,FARMINGTON PD,Farmington,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,25510,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,40,8,48,5,6,11,1.8,2.3,1998-01-01,2002-07-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21472021,2147,2021,CT0005400,CT0005400,,N,N,,I,GLASTONBURY,GLASTONBURY PD,Glastonbury,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,34424,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,48,9,57,6,9,15,1.6,2.1,1998-01-01,2000-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21482021,2148,2021,CT0005600,CT0005600,,N,N,,I,GRANBY,GRANBY PD,Granby,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,11585,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,13,2,15,3,3,6,1.4,1.8,1998-01-01,1998-02-01,2021-01-01,2020-02-01,2021-01-01,2021-01-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21492021,2149,2021,CT0005700,CT0005700,,N,N,,I,GREENWICH,GREENWICH PD,Greenwich,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,62917,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,133,12,145,13,14,27,2.3,2.7,1998-01-01,1999-09-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21512021,2151,2021,CT0005900,CT0005900,,N,N,,I,GROTON,GROTON CITY PD,Groton,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,8823,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,22,2,24,4,5,9,2.9,3.7,1998-01-01,1998-02-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,NEW LONDON,"Norwich-New London, CT",Y,Y,Y
21522021,2152,2021,CT0006000,CT0006000,,N,N,,I,GUILFORD,GUILFORD PD,Guilford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,22009,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,29,2,31,9,5,14,1.7,2.0,1998-01-01,2017-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21532021,2153,2021,CT0006200,CT0006200,,N,N,,I,HAMDEN,HAMDEN PD,Hamden,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,60165,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,81,9,90,9,17,26,1.5,1.9,1998-01-01,2000-12-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21542021,2154,2021,CT0006400,CT0006400,,N,N,,I,HARTFORD,HARTFORD PD,Hartford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,121160,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,339,9,348,56,15,71,3.3,3.5,1998-01-01,2020-12-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21572021,2157,2021,CT0007600,CT0007600,,N,N,,I,MADISON,MADISON PD,Madison,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,17890,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,27,4,31,2,8,10,1.6,2.3,1998-01-01,1998-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
