yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
181362021,18136,2021,SD0560200,SD0560200,,Y,N,,I,PINE RIDGE SIOUX TRIBAL,PINE RIDGE SIOUX TRIBAL PD KYLE,Pine Ridge Sioux Tribal,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,Tribal,0,32795,SD0560200,Pine Ridge Sioux Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,53,5,58,16,22,38,0,0,2021-01-01,2021-01-01,2021-01-01,2021-05-01,2021-05-01,2021-05-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
181372021,18137,2021,SD0570000,SD0570000,,N,N,,I,SPINK,SPINK CO SO REDFIELD,Spink,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,6269,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,6,0,6,3,4,7,1.4,2.1,1991-01-01,1999-01-01,1999-01-01,2015-03-01,2022-01-01,2015-03-01,N,SPINK,Not Specified,Y,Y,Y
181392021,18139,2021,SD0580000,SD0580000,,N,N,,I,STANLEY,STANLEY CO SO FORT PIERRE,Stanley,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,3116,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,5,0,5,0,1,1,1.6,1.9,1991-01-01,2000-02-01,2000-02-01,2015-04-01,2022-03-01,2015-03-01,N,STANLEY,Not Specified,Y,Y,Y
181412021,18141,2021,SD0590000,SD0590000,,N,N,,I,SULLY,SULLY CO SO ONIDA,Sully,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,1384,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,3,0,3,0,0,0,2.2,2.2,1991-01-01,1999-02-01,1999-02-01,2016-02-01,2022-03-01,2015-03-01,N,SULLY,Not Specified,Y,Y,Y
181422021,18142,2021,SD0600000,SD0600000,,N,N,,I,TODD,TODD COUNTY SO MISSION,Todd,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,10316,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,N,0,0,0,0,0,0,0.0,0.0,1991-01-01,2003-01-01,2003-01-01,2019-10-01,,2019-10-01,N,TODD,Not Specified,Y,Y,Y
181432021,18143,2021,SD0600200,SD0600200,,Y,N,,I,ROSEBUD TRIBAL,ROSEBUD TRIBAL PD ROSEBUD,Rosebud Tribal,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,Tribal,0,32796,SD0600200,Rosebud Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,29,1,30,7,5,12,0,0,2021-01-01,2021-01-01,2021-01-01,2021-04-01,2021-04-01,2021-04-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
181442021,18144,2021,SD0610000,SD0610000,,N,N,,I,TRIPP,TRIPP CO SO WINNER,Tripp,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,2544,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,3,1,4,0,0,0,1.2,1.6,1991-01-01,2004-01-01,2004-01-01,2015-05-01,2022-01-01,2015-03-01,N,TRIPP,Not Specified,Y,Y,Y
181452021,18145,2021,SD0610100,SD0610100,,N,N,,I,WINNER,WINNER PD,Winner,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,2773,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,0,10,1,0,1,4.0,4.0,1991-01-01,2005-04-01,2005-04-01,2015-03-01,2022-01-01,2015-03-01,N,TRIPP,Not Specified,Y,Y,Y
181462021,18146,2021,SD0620000,SD0620000,,N,N,,I,TURNER,TURNER CO SO PARKER,Turner,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,6687,23391,SDUCR0001,South Dakota Statistical Analysis Center,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,10,0,10,0,2,2,1.5,1.8,1991-01-01,2002-09-01,2002-09-01,2015-03-01,2022-01-01,2015-03-01,N,TURNER,"Sioux Falls, SD",Y,Y,Y
181522021,18152,2021,SD0630000,SD0630000,,N,N,,I,UNION,UNION CO SO ELK POINT,Union,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,8541,23391,SDUCR0001,South Dakota Statistical Analysis Center,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,7,5,12,2,5,7,1.1,2.2,1991-01-01,2002-11-01,2002-11-01,2015-03-01,2022-01-01,2015-03-01,N,UNION,"Sioux City, IA-NE-SD",Y,Y,Y
